Common Name,Botanical Name,Plant Type,Mature Size (H x W),Sun Requirements,Water Needs,Soil Preferences,Bloom Time & Color,Fall Color,Wildlife Value,Special Features,Landscape Use,Maintenance Level,SC Native,Guide Category,Photo URL
Sasanqua Camellia,Camellia sasanqua,Flowering Shrub,1.5-12' x 2-10',Part Shade to Full Sun,Moderate,"Acidic, well-drained",Oct-Dec; often fragrant,Evergreen,Pollinators (cool-season),"Evergreen, fall-blooming, fragrant","Hedge, espalier, specimen",Medium,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/1/12/Camellia_sasanqua1.jpg
Chinese Fringe-Flower,Loropetalum chinense var. rubrum,Flowering Shrub,3-15' x 3-15',Full Sun to Part Shade,Low to Moderate,Well-drained,Feb-Apr; pink/magenta (some rebloom),"Evergreen, burgundy foliage",Pollinators,"Evergreen, purple foliage, deer resistant","Foundation, hedge, accent color",Low,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/b/b6/Loropetalum-chinensis-rubrum.jpg
Butterfly Bush,Buddleja davidii,Flowering Shrub,6-12' x 4-10',Full Sun,Low to Moderate,Well-drained (critical),Jun-Oct; purple/pink/white,Deciduous,"Butterflies, bees, hummingbirds","Long bloom, choose sterile cultivars (can be weedy)","Pollinator beds, backdrop",Medium,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/BuddlejaDavidiiStrauch.jpg/960px-BuddlejaDavidiiStrauch.jpg
Shrub Rose,Rosa (landscape/shrub),Flowering Shrub,3-6' x 3-6',Full Sun,Moderate,"Well-drained, fertile",May-frost; many colors,Deciduous,"Pollinators, hips for birds","Continuous bloom, Knock Out types popular","Borders, hedges, accents",Medium,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Rosa_%27Rosengr%C3%A4fin_Marie_Henriette%27_%28actm%29.jpg/960px-Rosa_%27Rosengr%C3%A4fin_Marie_Henriette%27_%28actm%29.jpg
Koreanspice Viburnum,Viburnum carlesii,Flowering Shrub,4-8' x 4-8',Full Sun to Part Shade,Moderate,"Moist, slightly acidic","Mar-Apr; pink buds opening white, fragrant",Deciduous,Pollinators,Extremely fragrant spring bloom,"Specimen, near entries",Low,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Viburnum_carlesii_from_Korea_and_Japan_blossoms_%281%29.jpg/960px-Viburnum_carlesii_from_Korea_and_Japan_blossoms_%281%29.jpg
Arrowwood Viburnum,Viburnum dentatum,Flowering Shrub,6-15' x 6-10',Full Sun to Part Shade,Moderate,"Wide soil tolerance, moist loam",May; white flat-topped clusters + blue fruit,Reddish-purple,"Birds, pollinators","Native, adaptable, fruit for birds","Hedge, screen, naturalized",Low,Yes,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Viburnum_dentatum_flowers.jpg/960px-Viburnum_dentatum_flowers.jpg
Doublefile Viburnum,Viburnum plicatum f. tomentosum,Flowering Shrub,8-12' x 10-15',Part Shade,Moderate,"Moist, well-drained",Apr; white layered horizontal branches,Reddish-purple,Birds (some cultivars),Dramatic horizontal layered form,"Specimen, layered backdrop",Low,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/7/74/Virburnum_plicatum1.jpg
Bridal Wreath Spirea,Spiraea x vanhouttei,Flowering Shrub,5-8' x 7-10',Full Sun to Part Shade,Low to Moderate,"Adaptable, avoid very wet",Apr; cascading white,Deciduous,Butterfly visitation,"Deer resistant, old-South charm, arching form","Large hedge, mass planting",Low,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Illustration_Spiraea_salicifolia0.jpg/960px-Illustration_Spiraea_salicifolia0.jpg
Weigela,Weigela florida,Flowering Shrub,4-8' x 4-8',Full Sun to Part Shade,Moderate,"Well-drained, average fertility",Apr-May; pink/red/white,Deciduous,"Hummingbirds, bees",Tubular flowers attract hummingbirds,"Mixed border, foundation",Low,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/4/45/Dipsacales_-_Weigela_florida_-_1.jpg
Glossy Abelia,Abelia x grandiflora,Flowering Shrub,3-6' x 3-6',Full Sun to Part Shade,Low to Moderate,"Adaptable, well-drained",May-Oct; white/pink,Semi-evergreen,Pollinators,"Long bloom season, semi-evergreen","Foundation, informal hedge",Low,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Abelia_flowers.jpg/960px-Abelia_flowers.jpg
Gardenia,Gardenia jasminoides,Flowering Shrub,3-6' x 3-6',Part Shade,Moderate,"Acidic, organic, well-drained","May-Jul; white, intensely fragrant",Evergreen,Pollinators,"Fragrant, choose cold-hardy cultivars for 7b","Entry gardens, fragrance zones",High,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Gardenia_jasminoides_flower_Argentina.jpg/960px-Gardenia_jasminoides_flower_Argentina.jpg
Spirea (Thunberg),Spiraea thunbergii,Flowering Shrub,3-5' x 3-5',Full Sun to Part Shade,Low to Moderate,"Adaptable, avoid very wet",Mar-Apr; white,Deciduous,Butterfly visitation,"Deer resistant, fine texture, early bloom","Border shrub, mass planting",Low,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Spiraea_thunbergii_E.jpg/960px-Spiraea_thunbergii_E.jpg
Swamp Azalea,Rhododendron viscosum,Flowering Shrub,3-15' x 3-15',Part Shade,Moderate to High,Moist/wet tolerant,"May-Jun; white/pink, clove-scented",Deciduous,Pollinators,"Native, fragrant, tolerates wet sites",Wet woodland edges,Low,Yes,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Swamp_Azalea_Blooming.jpg/960px-Swamp_Azalea_Blooming.jpg
Boxwood,Buxus spp.,Evergreen Shrub,2-6' x 2-6',Part Shade,Moderate,"Well-drained, neutral to slightly alkaline",Evergreen form/structure,Evergreen,Cover,"Formal structure, many cultivars","Formal hedges, edging, containers",Medium,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Buxus_sempervirens.jpg/960px-Buxus_sempervirens.jpg
Japanese Holly,Ilex crenata,Evergreen Shrub,3-10' x 3-10',Full Sun to Part Shade,Moderate,"Well-drained, slightly acidic",Small black fruit,Evergreen,Birds (limited),"Boxwood substitute, fine texture","Hedging, foundation",Medium,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Ilex_Crenata5.jpg/960px-Ilex_Crenata5.jpg
Yaupon Holly,Ilex vomitoria,Evergreen Shrub,3-15' x 3-10',Full Sun to Part Shade,Low to Moderate,"Adaptable, heat/wind tolerant",Red berries on females,Evergreen,Birds,"Native, deer resistant, versatile","Screen, specimen, small tree form",Low,Yes,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Ilex_vomitoria.jpg/960px-Ilex_vomitoria.jpg
Inkberry,Ilex glabra,Evergreen Shrub,4-10' x 4-10',Full Sun to Part Shade,Moderate,"Acidic, tolerates wetter soils",Black berries; evergreen,Evergreen,"Birds, cover","Native, tolerates moist sites","Massing, rain garden edges, foundation",Low,Yes,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Ilex_glabra_251258583.jpg/960px-Ilex_glabra_251258583.jpg
Dwarf Yaupon Holly,Ilex vomitoria 'Nana',Evergreen Shrub,3-5' x 5-8',Full Sun to Part Shade,Low to Moderate,Adaptable,Evergreen mound,Evergreen,Cover,"Native, deer resistant, compact mound","Low hedge, foundation",Low,Yes,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Ilex_vomitoria.jpg/960px-Ilex_vomitoria.jpg
Chinese Holly,Ilex cornuta,Evergreen Shrub,6-15' x 6-15',Full Sun to Part Shade,Moderate,Well-drained,Red berries (heavy),Evergreen,Birds,"Deer resistant, spiny leaves, many cultivars","Barrier hedge, screen",Low,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Ilexcornuta.JPG/960px-Ilexcornuta.JPG
Nandina,Nandina domestica,Evergreen Shrub,2-8' x 2-6',Full Sun to Shade,Low to Moderate,Adaptable,White flowers + red berries + winter color,"Evergreen, red winter foliage",Birds (toxicity concern with berries),"Deer resistant, use low-fruit cultivars (invasive concerns)","Foundation, massing, containers",Low,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Nandina_domestica_cv_Otafukunante1.jpg/960px-Nandina_domestica_cv_Otafukunante1.jpg
Japanese Privet,Ligustrum japonicum,Evergreen Shrub,6-10' x 5-6',Full Sun to Part Shade,Low,Drought/heat tolerant,Fragrant white flowers; berries,Evergreen,Some wildlife,"Fast screen, use cautiously (invasive potential)",Fast screen/hedge,Low,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Ligustrum_japonicum_01.jpg/960px-Ligustrum_japonicum_01.jpg
Juniper (upright forms),Juniperus spp.,Evergreen Shrub,6-20' x 4-15',Full Sun,Low,Well-drained,Evergreen texture; blue berries,Evergreen,"Birds, cover","Deer resistant, drought tolerant","Screens, windbreaks",Low,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Juniperus_communis_fruits_-_Keila.jpg/960px-Juniperus_communis_fruits_-_Keila.jpg
Pittosporum,Pittosporum tobira,Evergreen Shrub,2-12' x 3-18',Full Sun to Shade,Low,"Well-drained, avoid wet soils",Very fragrant spring flowers,Evergreen,Pollinators,"Fragrant, choose cold-tolerant cultivars","Hedge, foundation, containers",Low,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Pittosporum_Tobira_JPG0.jpg/960px-Pittosporum_Tobira_JPG0.jpg
Sweet Viburnum,Viburnum odoratissimum,Evergreen Shrub,10-20' x 8-15',Full Sun to Part Shade,Moderate,"Moist, well-drained",Spring flowers; screening,Evergreen,Birds,Fast-growing screen,Tall screen (check cold tolerance),Low,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Viburnum_odoratissimum_6zz.jpg/960px-Viburnum_odoratissimum_6zz.jpg
Awabuki Viburnum,Viburnum awabuki 'Chindo',Evergreen Shrub,15-20' x 10-15',Full Sun to Part Shade,Low to Moderate,Well-drained,Glossy leaves; red berries,Evergreen,Birds,"Glossy, clean foliage, fast screen",Big glossy screen,Low,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/f/fe/Viburnum_opulus_C.jpg
Distylium,Distylium hybrids,Evergreen Shrub,3-10' x 3-8',Full Sun to Part Shade,Low to Moderate,"Well-drained, clay-tolerant",Evergreen; minor flowers,Evergreen,Low,"Deer resistant, very durable, disease-free","Foundation, hedge, boxwood substitute",Low,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Distylium_racemosum3.jpg/960px-Distylium_racemosum3.jpg
Holly Tea Olive,Osmanthus heterophyllus,Evergreen Shrub,6-10' x 6-10',Full Sun to Part Shade,Moderate,Well-drained,Fragrant fall flowers (subtle),Evergreen,Pollinators,"Deer resistant, holly-like leaves, fragrant","Evergreen screen, deer areas",Low,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Osmanthus_heterophyllus3.jpg/960px-Osmanthus_heterophyllus3.jpg
Japanese Pieris,Pieris japonica,Evergreen Shrub,6-12' x 6-10',Part Shade to Shade,Moderate,"Acidic, organic, well-drained",Late winter/spring; white/pink,Evergreen,Pollinators,"Cascading flower clusters, new growth colorful","Shade foundation, woodland",Medium,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Pieris_japonica_10.jpg/960px-Pieris_japonica_10.jpg
Aucuba,Aucuba japonica,Evergreen Shrub,6-10' x 5-8',Shade to Part Shade,Moderate,"Rich, well-drained",Bold foliage; red berries (female),Evergreen,Birds,"Gold-spotted foliage cultivars, deep shade tolerant",Deep shade structure,Low,No,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Aucuba_japonica_Gold_Dust_NBG_LR.jpg/960px-Aucuba_japonica_Gold_Dust_NBG_LR.jpg
Florida Leucothoe,Agarista populifolia,Evergreen Shrub,3-8' x 3-8',Part Shade to Shade,Moderate,"Acidic, moist, well-drained",Evergreen; white spring bloom,Evergreen,Pollinators,"Native, deer resistant, arching form","Shade shrub, naturalized",Low,Yes,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Agarista_populifolia_4.JPG/960px-Agarista_populifolia_4.JPG
Wax Myrtle,Myrica cerifera,Evergreen Shrub,10-20' x 10-20',Full Sun to Part Shade,Low to Moderate,"Very adaptable, tolerates poor soils",Evergreen; waxy berries,Evergreen,"Birds, cover","Native, deer resistant, fast screen, aromatic","Fast screen, coastal-style hedge",Low,Yes,5. Evergreen Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Starr_031108-0155_Morella_cerifera.jpg/960px-Starr_031108-0155_Morella_cerifera.jpg
American Beautyberry,Callicarpa americana,Native Shrub,3-6' x 3-6',Full Sun to Part Shade,Moderate,"Adaptable, best with organic matter",Summer small flowers; stunning purple fruit fall,Deciduous,"Birds, cover","Native, spectacular purple berries","Naturalized edges, shrub borders",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Callicarpa_americana_infructescence.jpg/960px-Callicarpa_americana_infructescence.jpg
Virginia Sweetspire,Itea virginica,Native Shrub,3-5' x 3-5',Full Sun to Part Shade,Moderate to High,Moist to wet tolerant,Jun-Jul; white fragrant racemes,Red/garnet (excellent),"Pollinators, cover","Native, tolerates wet sites, great fall color","Rain gardens, banks, massing",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Itea_virginica_flowers_001.JPG/960px-Itea_virginica_flowers_001.JPG
Summersweet,Clethra alnifolia,Native Shrub,3-8' x 3-6',Part Shade to Shade,Moderate,"Acidic, moist, well-drained",Jul-Aug; fragrant white/pink,Yellow,Pollinators,"Native, fragrant summer bloom","Shade shrub, fragrance, rain edges",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Clethra-alnifolia-flowers.JPG/960px-Clethra-alnifolia-flowers.JPG
Blackhaw Viburnum,Viburnum prunifolium,Native Shrub/Small Tree,12-15' x 8-12',Full Sun to Part Shade,Low to Moderate,"Adaptable, drought tolerant once established",Spring; white flowers + dark fruit,Red-purple,"Birds, pollinators","Native, drought tolerant, edible fruit","Screen, naturalized hedge",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Viburnum_prunifolium_USDA1.jpg/960px-Viburnum_prunifolium_USDA1.jpg
Mapleleaf Viburnum,Viburnum acerifolium,Native Shrub,4-6' x 3-4',Shade to Part Shade,Low to Moderate,"Tolerates dry shade, organic",Spring; white flowers,Pink-purple (excellent),Birds,"Native, dry shade tolerant","Woodland, dry shade understory",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Viburnum_acerifolium.jpg/960px-Viburnum_acerifolium.jpg
Buttonbush,Cephalanthus occidentalis,Native Shrub,6-12' x 6-12',Full Sun to Part Shade,High,"Wet soils, pond/stream edges",Summer; white spheres,"Pollinators, birds","Native, wet site specialist","Rain gardens, riparian buffers, pond edges",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Cephalanthus_occidentalis_occidentalis1.jpg/960px-Cephalanthus_occidentalis_occidentalis1.jpg,
Spicebush,Lindera benzoin,Native Shrub,6-12' x 6-12',Part Shade to Shade,Moderate,"Moist, organic",Yellow spring flowers; red fruit (female),"Birds, swallowtail larval host","Native, aromatic leaves, spicebush swallowtail host",Woodland understory,Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/6/69/Spicebush_%284506720062%29.jpg,
Sweetshrub,Calycanthus floridus,Native Shrub,6-10' x 6-10',Part Shade to Shade,Moderate,"Organic, well-drained","Spring; maroon, fruity fragrant",Yellow,Pollinators,"Native, Carolina allspice, fragrant bloom","Shade border, fragrance garden",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/%28MHNT%29_Calycanthus_floridus_-_Les_Martels%2C_Giroussens_Tarn.jpg/960px-%28MHNT%29_Calycanthus_floridus_-_Les_Martels%2C_Giroussens_Tarn.jpg
Fothergilla,Fothergilla gardenii / F. major,Native Shrub,3-10' x 3-10',Full Sun to Part Shade,Moderate,"Acidic, organic",Spring; white bottlebrush,Yellow/orange/red (excellent),Pollinators,"Native, outstanding fall color + spring bloom","Specimen, mixed border",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Fothergilla_gardenii_Flowers_and_Foliage.jpg/960px-Fothergilla_gardenii_Flowers_and_Foliage.jpg
Ninebark,Physocarpus opulifolius,Native Shrub,5-10' x 5-10',Full Sun to Part Shade,Low to Moderate,Very adaptable,Late spring; white/pink clusters,Bronze/yellow,"Pollinators, cover","Native, exfoliating bark, purple-leaf cultivars","Tough screen, restoration, mixed border",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Physocarpus_opulifolius_Arkansas.jpg/960px-Physocarpus_opulifolius_Arkansas.jpg
Red Chokeberry,Aronia arbutifolia,Native Shrub,6-10' x 3-6',Full Sun to Part Shade,Moderate,"Adaptable, tolerates moisture",Spring; white flowers; persistent red fruit,Red,Birds,"Native, persistent red berries","Naturalized hedge, rain garden edges",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/c/cc/Choke-Berries-IMG_2431_051013_121714.jpg
Black Chokeberry,Aronia melanocarpa,Native Shrub,3-6' x 3-6',Full Sun to Part Shade,Moderate,"Adaptable, tolerates moisture",Spring; white flowers; black fruit,Red-purple,Birds,"Native, compact, superfruit","Foundation, mass planting",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/9/9e/Aronia_melanocarpa_cv_Rubina_P1020524.JPG
Rabbiteye Blueberry,Vaccinium virgatum,Native Shrub,6-12' x 6-12',Full Sun,Moderate,"Acidic, well-drained",Spring bloom; edible blue fruit,"Pollinators, birds","Native, edible landscape, fall color",Edible landscape hedge,Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Vaccinium_virgatum.jpg/960px-Vaccinium_virgatum.jpg,
Winterberry,Ilex verticillata,Native Shrub,6-12' x 6-12',Full Sun to Part Shade,Moderate to High,"Acidic, tolerates wet sites",Red berries persist all winter (female),Red-orange berries,Birds,"Native, deciduous holly, stunning winter display","Winter interest, rain gardens",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Ilex_verticillata_fruits_and_foliage_1.JPG/960px-Ilex_verticillata_fruits_and_foliage_1.JPG
Wax Myrtle,Myrica cerifera,Native Shrub,10-20' x 10-20',Full Sun to Part Shade,Low to Moderate,Very adaptable,Evergreen; waxy gray berries,Evergreen,"Birds, cover","Native, deer resistant, aromatic, nitrogen-fixing","Fast screen, foundation",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Starr_031108-0155_Morella_cerifera.jpg/960px-Starr_031108-0155_Morella_cerifera.jpg
Flame Azalea,Rhododendron calendulaceum,Native Shrub,4-8' x 4-8',Part Shade,Moderate,"Acidic, organic, well-drained",May-Jun; orange/yellow/red,Deciduous,Pollinators,"Native, spectacular bloom colors","Woodland garden, specimen",Low,Yes,6. Native Plants & Shrubs,https://upload.wikimedia.org/wikipedia/commons/8/88/Rhododendron_calendulaceum.jpg
Pink Muhly Grass,Muhlenbergia capillaris,Ornamental Grass,2-3' x 2-3',Full Sun to Part Shade,Low to Moderate,"Well-drained, tolerates poor soils",Sep-Nov; spectacular pink to pink-red plumes,Straw/tan winter plumes,Seeds/cover,"Native, drought tolerant, iconic fall display","Massing, borders, winter interest",Low,Yes,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Muhlenbergia_capillaris_001.jpg/960px-Muhlenbergia_capillaris_001.jpg
Switchgrass,Panicum virgatum,Ornamental Grass,3-6' x 2-3',Full Sun to Part Shade,Moderate (adapts wet),"Tolerates clay, moist to wet",Jul-Feb; pink-tinged panicles,Yellow/orange tints,Bird seed in winter,"Native, rain garden grass, strong vertical","Screens, rain gardens, meadows",Low,Yes,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/7/7a/Panicum_virgatum.jpg
Big Bluestem,Andropogon gerardii,Ornamental Grass,3-8' x 2-3',Full Sun,Moderate (low once established),"Average to moist, drought tolerant",Late summer; bronze/tan,Rusty tones,Cover/seed,"Native, iconic prairie grass","Back borders, meadow plantings",Low,Yes,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Starr_031118-0122_Andropogon_virginicus.jpg/960px-Starr_031118-0122_Andropogon_virginicus.jpg
Indian Grass,Sorghastrum nutans,Ornamental Grass,3-6' x 2-3',Full Sun,Moderate,"Rich, moist, well-drained",Late summer; golden plumes,Golden tan,Cover/seed,"Native, SC state grass","Meadows, screens, native borders",Low,Yes,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Sorghastrum_nutans_Tennessee.jpg/960px-Sorghastrum_nutans_Tennessee.jpg
Northern Sea Oats,Chasmanthium latifolium,Ornamental Grass,3-4' x 2-3',Full Sun to Shade,Moderate,"Moist, rich; tolerates drought established",Late summer/fall; dangling oat-like seedheads,Yellowing,"Cover, seed for birds","Native, excellent shade grass, dried arrangements","Shade borders, woodland edges",Low,Yes,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Chasmanthium_latifolium_Boyle_Park.jpg/960px-Chasmanthium_latifolium_Boyle_Park.jpg
Japanese Forest Grass,Hakonechloa macra,Ornamental Grass,1-1.5' x 1.5-2',Part Shade,Moderate,"Humus-rich, well-drained, moist",Insignificant,Gold tones,Cover,"Elegant cascading texture, shade lover","Shade edging, containers, underplanting",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Hakonechloa_macra_%27All_Gold%27_Leaves_2448px.jpg/960px-Hakonechloa_macra_%27All_Gold%27_Leaves_2448px.jpg
Feather Reed Grass,Calamagrostis x acutiflora,Ornamental Grass,3-5' x 2-3',Full Sun,Moderate,"Rich, consistently moist",Late spring/summer; tan plumes,Straw,Nesting cover,"Very upright form, 'Karl Foerster' popular","Vertical accents, rows, screens",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Calamagrostis_%C3%97_acutiflora_Overdam_2zz.jpg/960px-Calamagrostis_%C3%97_acutiflora_Overdam_2zz.jpg
Korean Feather Reed Grass,Calamagrostis brachytricha,Ornamental Grass,3-4' x 2-3',Part Shade to Full Sun,Moderate,"Moist, well-drained",Fall; pink plumes,Tan,Cover,Better hot-summer tolerance,"Mixed borders, focal mass",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Calamagrostis-canadensis1we.jpg/960px-Calamagrostis-canadensis1we.jpg
Little Bluestem,Schizachyrium scoparium,Ornamental Grass,2-3' x 1-2',Full Sun,Low,"Adaptable, well-drained",Inconspicuous; fall interest,Coppery-orange (excellent),Birds (seed/cover),"Native, great fall/winter color, drought tough","Meadows, modern massing, slopes",Low,Yes,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/4/45/Andropogon_scoparius.jpg
Side-Oats Grama,Bouteloua curtipendula,Ornamental Grass,2-3' x 1-2',Full Sun,Low,"Sandy to clay, well-drained",Summer; purple/red-tinged spikelets,Straw,Seed/cover,"Native, drought tolerant","Slopes, meadows, naturalistic borders",Low,Yes,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Bouteloua_curtipendula.jpg/960px-Bouteloua_curtipendula.jpg
Liriope (clumping),Liriope muscari,Ornamental Grass,10-18 in. x 12-18 in.,Full Sun to Deep Shade,Low to Moderate,"Moist, well-drained",Jul-Aug; purple/white/pink spikes,Evergreen,Some cover,"Very tough, evergreen edging","Under trees, edging, slopes",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Liriope_muscari_4.JPG/960px-Liriope_muscari_4.JPG
Mondo Grass,Ophiopogon japonicus,Ornamental Grass,8-16 in. x spreading,Filtered Sun to Shade,Moderate,"Ordinary, prefers moist",Jul-Sep; white/lilac,Evergreen,Cover,Shade-tolerant no-mow look,"Paths/stepping stones, shade groundcover",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Japonska_ka%C4%8Dja_brada.jpg/960px-Japonska_ka%C4%8Dja_brada.jpg
Fountain Grass,Pennisetum alopecuroides,Ornamental Grass,2-4' x 2-4',Full Sun,Moderate,"Moist, well-drained",Mid-late summer; cream/pink plumes,Tan,Cover,Use with care - can reseed/invasive per Clemson,"Accents, massing (avoid near natural areas)",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Pennisetum_alopecuroides_%28Lampenpoetsersgras%29_02.JPG/960px-Pennisetum_alopecuroides_%28Lampenpoetsersgras%29_02.JPG
Prairie Dropseed,Sporobolus heterolepis,Ornamental Grass,2' x 3',Full Sun,Low,Well-drained,Late summer; subtle fragrant,Tan,Cover,"Native, fine texture, fragrant blooms","Paths, edging masses, borders",Low,Yes,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Sporobolus_heterolepis_-_Denver_Botanic_Gardens_-_DSC00886.JPG/960px-Sporobolus_heterolepis_-_Denver_Botanic_Gardens_-_DSC00886.JPG
Dwarf Mondo Grass,Ophiopogon japonicus 'Nanus',Ornamental Grass,2-4 in. x spreading,Part Shade to Shade,Moderate,"Moist, well-drained",Insignificant,Evergreen,Cover,"Very low, between-stone filler","Between pavers, edging, miniature groundcover",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Japonska_ka%C4%8Dja_brada.jpg/960px-Japonska_ka%C4%8Dja_brada.jpg
Creeping Liriope,Liriope spicata,Ornamental Grass,10-15 in. x spreading,Full Sun to Shade,Low to Moderate,"Moist, well-drained",Summer; lighter spikes,Evergreen,Cover,"Spreads by rhizomes, erosion control","Large groundcover areas, erosion control",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Liriope_spicata_2016-07-23_04.jpg/960px-Liriope_spicata_2016-07-23_04.jpg
Purple Coneflower,Echinacea purpurea,Perennial,2-4' x 1.5-2',Full Sun to Part Shade,Moderate (low once established),"Well-drained, evenly moist",Mid-summer-frost; pink/purple/white,Minimal,Pollinators + birds eat seed,"Native, drought tolerant, deer resistant","Meadows, massing, perennial borders",Low,Yes,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Echinacea_purpurea_Grandview_Prairie.jpg/960px-Echinacea_purpurea_Grandview_Prairie.jpg
